location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",67.70004145304362,"%","2025-08-25T13:00:00Z","2025-08-25T19:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",70.8529167175293,"%","2025-08-25T14:00:00Z","2025-08-25T20:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",71.44170888264973,"%","2025-08-25T15:00:00Z","2025-08-25T21:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",72.39966710408528,"%","2025-08-25T16:00:00Z","2025-08-25T22:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",73.08587392171223,"%","2025-08-25T17:00:00Z","2025-08-25T23:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",73.78087488810222,"%","2025-08-25T18:00:00Z","2025-08-26T00:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",74.47420819600423,"%","2025-08-25T19:00:00Z","2025-08-26T01:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",75.89270782470703,"%","2025-08-25T20:00:00Z","2025-08-26T02:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",76.89858373006184,"%","2025-08-25T21:00:00Z","2025-08-26T03:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",77.01070785522461,"%","2025-08-25T22:00:00Z","2025-08-26T04:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",77.3918883005778,"%","2025-08-25T23:00:00Z","2025-08-26T05:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",77.78666496276855,"%","2025-08-26T00:00:00Z","2025-08-26T06:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",27.302541573842365,"c","2025-08-25T01:00:00Z","2025-08-25T07:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",27.846166610717773,"c","2025-08-25T02:00:00Z","2025-08-25T08:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.90274969736735,"c","2025-08-25T03:00:00Z","2025-08-25T09:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",29.00129159291585,"c","2025-08-25T04:00:00Z","2025-08-25T10:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",29.353749593098957,"c","2025-08-25T05:00:00Z","2025-08-25T11:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",29.821166674296062,"c","2025-08-25T06:00:00Z","2025-08-25T12:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",30.616958300272625,"c","2025-08-25T07:00:00Z","2025-08-25T13:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",31.474958260854084,"c","2025-08-25T08:00:00Z","2025-08-25T14:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",31.681874990463257,"c","2025-08-25T09:00:00Z","2025-08-25T15:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",31.43380012512207,"c","2025-08-25T11:00:00Z","2025-08-25T17:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",30.76895793279012,"c","2025-08-25T12:00:00Z","2025-08-25T18:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",29.992041905721027,"c","2025-08-25T13:00:00Z","2025-08-25T19:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",29.50012509028117,"c","2025-08-25T14:00:00Z","2025-08-25T20:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",29.471916675567627,"c","2025-08-25T15:00:00Z","2025-08-25T21:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",29.188374996185303,"c","2025-08-25T16:00:00Z","2025-08-25T22:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.883999665578205,"c","2025-08-25T17:00:00Z","2025-08-25T23:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.662458737691242,"c","2025-08-25T18:00:00Z","2025-08-26T00:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.61091709136963,"c","2025-08-25T19:00:00Z","2025-08-26T01:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.631666978200276,"c","2025-08-25T20:00:00Z","2025-08-26T02:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.60991684595744,"c","2025-08-25T21:00:00Z","2025-08-26T03:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.654708862304688,"c","2025-08-25T22:00:00Z","2025-08-26T04:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.47836097081502,"c","2025-08-25T23:00:00Z","2025-08-26T05:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","temperature",28.419124603271484,"c","2025-08-26T00:00:00Z","2025-08-26T06:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",5225.7145589192705,"particles/cm³","2025-08-25T01:00:00Z","2025-08-25T07:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",3103.5374755859375,"particles/cm³","2025-08-25T02:00:00Z","2025-08-25T08:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",3109.6541544596353,"particles/cm³","2025-08-25T03:00:00Z","2025-08-25T09:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",3890.7750040690103,"particles/cm³","2025-08-25T04:00:00Z","2025-08-25T10:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",6324.3729248046875,"particles/cm³","2025-08-25T05:00:00Z","2025-08-25T11:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",7404.375,"particles/cm³","2025-08-25T06:00:00Z","2025-08-25T12:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",5078.1811930338545,"particles/cm³","2025-08-25T07:00:00Z","2025-08-25T13:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",4061.2457885742188,"particles/cm³","2025-08-25T08:00:00Z","2025-08-25T14:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",3812.156219482422,"particles/cm³","2025-08-25T09:00:00Z","2025-08-25T15:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",5122.4150390625,"particles/cm³","2025-08-25T11:00:00Z","2025-08-25T17:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",5498.5791422526045,"particles/cm³","2025-08-25T12:00:00Z","2025-08-25T18:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",4770.9208577473955,"particles/cm³","2025-08-25T13:00:00Z","2025-08-25T19:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",5719.935384114583,"particles/cm³","2025-08-25T14:00:00Z","2025-08-25T20:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",6024.2437744140625,"particles/cm³","2025-08-25T15:00:00Z","2025-08-25T21:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",4150.389546712239,"particles/cm³","2025-08-25T16:00:00Z","2025-08-25T22:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",3870.562540690104,"particles/cm³","2025-08-25T17:00:00Z","2025-08-25T23:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",3616.777099609375,"particles/cm³","2025-08-25T18:00:00Z","2025-08-26T00:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",4541.504150390625,"particles/cm³","2025-08-25T19:00:00Z","2025-08-26T01:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",5957.714599609375,"particles/cm³","2025-08-25T20:00:00Z","2025-08-26T02:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",6553.9458414713545,"particles/cm³","2025-08-25T21:00:00Z","2025-08-26T03:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",8122.0020751953125,"particles/cm³","2025-08-25T22:00:00Z","2025-08-26T04:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",7504.600016276042,"particles/cm³","2025-08-25T23:00:00Z","2025-08-26T05:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","um003",8029.087483723958,"particles/cm³","2025-08-26T00:00:00Z","2025-08-26T06:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"